# Password Hashes (MD5, SHA1, SHA256)
# Format: username | MD5 | SHA1 | SHA256

juan.garcia | 482c811da5d5b4bc6d497ffa98491e38 | cbfdac6008f9cab4083784cbd1874f76618d2a97 | ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f
maria.lopez | 477663fcf13990112a2da76d1b7b1485 | f57a11697b4108af9db9e91bf6f1b3aaae8dcbcb | 605003f7889c4b48c898a1aa524975a40ca355f82a78b5c333478a707148381e
carlos_fdez | a4d4b8dfe6a9e721193b24eb80d14f30 | 5fc3660f409ad7590fa761b4c51ae509245361a0 | d87008ae6d7bc77cfc795976a5007670925224035687931952f86d0eaa398d39
ana.martinez | e10adc3949ba59abbe56e057f20f883e | 7c4a8d09ca3762af61e59520943dc26494f8941b | 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
david.rodriguez | 929f7bbb14369da58605ab8b33c16888 | 256b1ba9c35295e0350337d8a9920dc4db006b5f | 33f3b840982423d4b059cacc77faefd3339310b289ef998f47ad13d7ac3f4044
sofia.perez.m | 9ff8fa7bd2e399b34456afa48c3083d5 | af080c1751759c3e84cd46abf465fcc11ca5e2be | 96a6e070695d4166c6b9964338a62ebd120bd7e69ac39ed138575cd23d2ed490
miguel_sanchez | d8578edf8458ce06fbc5bb76a58c5ca4 | b1b3773a05c0ed0176787a4f1574ff0075f7521e | 65e84be33532fb784c48129675f9eff3a682b27168c0ea744b2cf58ee02337c5
laura.gonzalez | 64dd696c08ec0ac4591bd882363be269 | 08d11cf76c56218a976e8b994267f70294cc55c8 | 72a1ec4661eec30b1a5d41a40f25216546778dcddacf60735f6d11704d48df43
joseantonio.diaz | 78ff89322c8d56946d5c85708580a75c | 6d300eea0d952d22a880ade9072d044539902459 | d63ef7c6e97b1676b15156b9b022c648cf700baab75397ef187af0bca738ba5c
elena.ramirez | f5c90d326bc375e17efee4325dc04b59 | 5e85ff0c3bfc4c0920ea81b2a9c11612c505a01d | 0a1cb0e3ad6162abccee7638f45b15a63f8acbbb86285ea487bf6248720f58cc
pablo.ruiz | 79fa9fc437a1863ae80aaa32d604be09 | 67d666d53be25f2cfba33da07df1feefad50f2bf | cefb28729d9e5ec4d751944d1d5e164fb32bddc9c12a5f9b9c70a1c3549442fb
isabel.serrano | 92dd5e2049109828ab04920413a55ca3 | 9a7fdae13a89995f964d81c75826365f18abb1ab | b2b8c806231ca823d86258c8e1144e2131f96e4e4ee4636870b92cc47c84ebea
javier.vargas | e0a0b1658ffd0d1701a4b404511e4a79 | 42f48a6feac133dd2c62d8b23b090b4ac6d16ec6 | 7a25f1a87ec50de792eec6a3c8118953018cd9901a802ef8cb4d5d7032ebc66f
carmen.morales | 540787c6a161fbe783951533fc2eef3a | 2208f34b40ee34c1369f75c1d51435571fc08582 | a0316c652aa996d740242b427ae7295df70d6ab7d1c6b7ce6e643c82d3e2e881
fernando_gomez | 50fd8a70f1a6c479f7ebcd59f25b5c0e | 39b322b055badcf2d3afed4bc4486f006082d4e0 | 582cdec22e0b7ded3d8339e7b0367bdc3d55aad3f284b5aecaab430d553b5229
victoria.alonso | bc95aaafa4c5cbd8201a2e80c73c7107 | 5795e9d21fb1b7a5345877f0f889f29070cf5de1 | 8a8754ec9a59cdfbe47b7f8facf1d9e8d80e7264c79a067163564a1901d67672
ricardo.torres | 0f06e1def5094664d7666bc7b9a38a63 | d46ac45ef6073018d6d91c1c5e9bb5f28cde9fb7 | 3a61cc34ffe72af42476e9376204c9854c9b5ebdac14d99b72094ffad1053588
patricia.blanco | ec14bb6e414a4ead1b99740f57801e3d | 9c6e4b6ec1379194f273ee7b40919f25d02f9669 | ceca7522f200e3be32533b8272c98b250e5ee8fe76f711ab262151c005d14c51
enrique.suarez | e00cf25ad42683b3df678c61f42c6bda | 6c7ca345f63f835cb353ff15bd6c5e052ec08e7a | 25f43b1486ad95a1398e3eeb3d83bc4010015fcc9bedb35b432e00298d5021f7
raul_prieto | e484ecca044209eae8b43e0888837e56 | 7520f9aaa7441e8f3421d17cd0ff114236a14633 | 15f35fb8d8c65a31b0d4a58b470b8c4db4920bd5ca151e5a7b1a218bf7db73b6
